,Name,Symbol,Market Cap
0,ExxonMobilCorporation,XOM,"$384,845.80"
1,GeneralElectricCompany,GE,"$346,042.10"
2,MicrosoftCorporation,MSFT,"$299,647.60"
3,BPp.l.c.,BP,"$248,469.70"
4,"Citigroup,Inc.",C,"$231,977.70"
5,Procter&GambleCompany(The),PG,"$194,814.00"
6,"Wal-MartStores,Inc.",WMT,"$191,978.50"
7,"Pfizer,Inc.",PFE,"$189,297.40"
8,"HSBCHoldings,plc.",HBC,"$188,804.60"
9,ToyotaMotorCorporation,TM,"$187,196.40"
10,JOHNSON&JOHNSON,JNJ,"$179,515.80"
11,BankofAmericaCorporation,BAC,"$176,906.20"
12,"AmericanInternationalGroup,Inc.",AIG,"$169,908.50"
13,"TotalFinaElf,S.A.",TOT,"$169,852.60"
14,NovartisAG,NVS,"$151,092.70"
15,AltriaGroup,MO,"$150,638.60"
16,GLAXOSMITHKLINEPLC,GSK,"$149,062.80"
17,MitsubishiUFJFinancialGroupInc,MTU,"$146,421.90"
18,J.P.MorganChase&Co.,JPM,"$138,596.30"
19,ROYALDUTCHSHELLPLC,RDS/A,"$133,773.40"
20,ChevronTexacoCorporation,CVX,"$133,307.10"
21,Sanofi-AventisSA,SNY,"$128,920.20"
22,VodafoneAirTouchPublicLimitedCompany,VOD,"$128,885.40"
23,IntelCorporation,INTC,"$128,146.40"
24,InternationalBusinessMachinesCorporation,IBM,"$127,641.00"
25,ENIS.p.A.,E,"$121,462.50"
26,"CiscoSystems,Inc.",CSCO,"$114,067.10"
27,BerkshireHathawayInc.,BRK/A,"$112,846.90"
28,UBSAG,UBS,"$110,546.60"
29,WellsFargoCapIX,WFC,"$104,281.10"
30,AT&TInc.,T,"$101,549.80"
31,ROYALDUTCHSHELLPLC,RDS/B,"$99,061.00"
32,Coca-ColaCompany(The),KO,"$98,450.10"
33,ChinaMobile(HongKong)Ltd.,CHL,"$97,501.20"
34,"Pepsico,Inc.",PEP,"$94,976.00"
35,VerizonCommunicationsInc.,VZ,"$92,763.80"
36,CONOCOPHILLIPS,COP,"$92,112.70"
37,"Genentech,Inc.",DNA,"$90,603.70"
38,AmgenInc.,AMGN,"$89,969.60"
39,"BancoSantanderCentralHispano,S.A.",STD,"$89,248.80"
40,Hewlett-PackardCompany,HPQ,"$87,958.60"
41,GoogleInc.,GOOG,"$86,317.00"
42,"HomeDepot,Inc.(The)",HD,"$86,139.80"
43,WachoviaCorporation,WB,"$85,370.30"
44,SiemensAG,SI,"$81,605.60"
45,NokiaCorporation,NOK,"$81,494.80"
46,UnitedHealthGroupIncorporated,UNH,"$81,108.30"
47,TimeWarnerInc.,TWX,"$80,206.10"
48,QUALCOMMIncorporated,QCOM,"$78,855.30"
49,"INGGroup,N.V.",ING,"$78,822.70"
50,NTTDocomoInc,DCM,"$77,676.50"
51,E.ONAG,EON,"$77,504.80"
52,ASTRAZENECAPLC,AZN,"$76,838.50"
53,"Merck&Company,Inc.",MRK,"$75,438.80"
54,SchlumbergerN.V.,SLB,"$75,079.30"
55,TelefonicaSA,TEF,"$75,014.40"
